%time,field.header.seq,field.header.stamp,x,y,z
1684310335776692576,7481,1684310335776355266,2.0961820019292645,3.737576670013368,57.5984
1684310335827223808,7482,1684310335826660394,2.127584722766187,3.7669094684533775,57.5985
1684310335877147008,7483,1684310335876725912,2.1539307750063017,3.8007704778574407,57.5935
1684310335927769376,7484,1684310335927447795,2.179332173895091,3.839082356542349,57.5774
1684310335977150176,7485,1684310335976786613,2.202698406064883,3.878540789708495,57.5969
1684310336024153056,7486,1684310336023813009,2.226002123730723,3.9146755719557405,57.6
1684310336076939328,7487,1684310336076597452,2.2483195139211603,3.953045457135886,57.5937
1684310336127072512,7488,1684310336126697063,2.2724636947968975,3.979189951904118,57.592
1684310336177529952,7489,1684310336176496267,2.286536220810376,4.016606635414064,57.5984
1684310336226834528,7490,1684310336226467847,2.3006087468238547,4.054023319389671,57.6066
1684310336280308320,7491,1684310336279900312,2.3147021078621037,4.092547886073589,57.6228
1684310336328317600,7492,1684310336328008413,2.3400826708530076,4.129751881584525,57.6228
1684310336378712416,7493,1684310336378133058,2.3663453711778857,4.159181356895715,57.6141
1684310336428714176,7494,1684310336428411960,2.397643899603281,4.182974738068879,57.5897
1684310336480147872,7495,1684310336479762792,2.4167314154910855,4.213647443335503,57.4763
1684310336527601184,7496,1684310336527333021,2.435985631600488,4.253183218184859,57.4828
1684310336575061984,7497,1684310336574688434,2.477272466116119,4.261272876523435,57.4458
1684310336626980128,7498,1684310336626678943,2.506640014646109,4.291752229444683,57.4404
1684310336677090976,7499,1684310336676742553,2.5299437310895883,4.327887012157589,57.4575
1684310336727347616,7500,1684310336727005481,2.5541295876028016,4.356247273739427,57.48
1684310336777142400,7501,1684310336776748895,2.5772249269648455,4.38130322098732,57.4813
1684310336824218432,7502,1684310336823843479,2.598285098327324,4.407505722250789,57.4868
1684310336874402272,7503,1684310336874038934,2.6203315957682207,4.431473120581359,57.4669
1684310336924937024,7504,1684310336924520015,2.6495324410498142,4.4530894053168595,57.4696
1684310336977837536,7505,1684310336977449417,2.6588817029842176,4.512760437559336,57.5008
1684310337028496736,7506,1684310337028201103,2.679038896225393,4.545629574917257,57.5152
1684310337077833152,7507,1684310337077489376,2.717200044891797,4.551561472471803,57.4897
